med,kur,skew,r_max,sigma_snr,engy,rms,Leith,Rician,growth_time,SPE,growth_time_power,Power_ratio_first,Power_ratio_second,Power_ratio_third,peak_number,engy_power,med_power,rms_power,kur_power,SPE_power,skew_power,Rician_power,type
0.006949769,40.61527779,5.259856431,208.125449,106.7628204,396680.9195,0.011268023,32.07281451,72.62628958,1074,0.000246451,0,1,0.622345052,0.587126655,4,70.64393224,340.8427446,21739.36577,52.66177645,0.014155497,6.604768536,60.86315191,0
0.006939931,46.47330513,5.576144695,208.0589017,106.7564244,399831.6924,0.011320764,36.39770351,84.30014058,1071,0.000265394,0,1,0.561159583,0.644737474,4,71.29681273,357.5323741,22367.45026,52.27416589,0.014025872,6.583526858,60.30872127,0
0.006774198,46.71045482,5.647812291,211.4739258,107.0820342,419862.0156,0.011533831,36.82245412,81.38667826,1066,0.0002547,0,1,0.579266487,0.643276902,4,71.42478125,353.9859075,21524.47923,52.42448264,0.014000743,6.608286269,60.15080704,0
0.006968516,43.37630831,5.459922294,211.6407911,107.0978091,416756.0332,0.011689592,34.1230254,74.2447196,1095,0.000243297,0,1,0.58773549,0.60790536,4,70.33178636,351.3855788,21820.38058,52.67468117,0.014218322,6.600236617,61.10733862,0
0.006254203,50.49098897,5.905532148,213.0748649,107.2328716,470330.501,0.011150572,40.34570541,90.55454249,1095,0.000255445,0,1,0.549744445,0.607436779,4,68.34283971,348.4714058,22080.45178,54.35272904,0.014632111,6.687407107,62.86200779,0
0.006822187,42.4655958,5.407334017,205.8495806,106.5429142,411459.0428,0.011443529,33.70066269,72.79422607,1088,0.000243001,0,1,0.58416214,0.606178192,4,69.60345608,345.8176293,22511.32069,53.00819564,0.014367103,6.610675939,61.76309878,0
0.048086786,99.28334597,8.488786502,194.2608271,105.3840345,994689.8493,0.008312997,88.59755099,147.1574641,1088,0.000195298,0,1,0.601785603,0.611818131,4,71.08148385,358.0686407,22846.43696,51.45652003,0.014068361,6.52048682,60.5048998,0
0.052932743,105.0072353,8.724844719,197.5356505,105.7183815,990174.7161,0.008078445,94.39015116,157.0123849,1088,0.000199496,0,1,0.597201302,0.598719025,4,70.55989202,355.9332898,22314.65886,51.88061667,0.014172357,6.545709721,60.95362216,0
0.006318603,48.92782108,5.778693793,204.7224897,106.4331071,445182.518,0.011173524,38.95527222,102.7905601,1088,0.000279209,0,1,0.553916098,0.581646094,4,67.62316125,348.7188547,21919.71932,54.34489707,0.014787833,6.675145133,63.52559837,0
0.007389439,40.98719429,5.250355081,214.051162,107.3243012,366496.7672,0.011904255,31.65659884,78.29359866,1086,0.000264573,0,1,0.536612474,0.561918417,4,64.2560801,290.398988,22062.1132,58.04421149,0.01556273,6.877788537,66.81641447,0
0.007974825,36.16281809,4.92734588,209.0986142,106.8561196,353887.85,0.012312714,27.85505766,71.26850996,1085,0.000255349,0,1,0.526125802,0.544295396,4,62.5772125,291.5272647,23601.26719,59.44397621,0.015980258,6.927832038,68.68088788,0
0.007376471,40.58129339,5.217426271,205.8369917,106.5416911,383867.9549,0.011767571,31.64582951,76.94430868,1085,0.000256997,0,1,0.537952462,0.609169844,4,66.43508569,359.8936891,23828.08407,55.50185134,0.015052287,6.739126857,64.7311664,0
0.006886837,42.441766,5.366251078,209.5059369,106.8950415,422319.2755,0.011330485,33.66607808,80.82170159,1083,0.000252824,0,1,0.523141738,0.59998168,4,65.43386581,301.8960198,24556.03433,56.17822449,0.015282606,6.75543513,65.76691249,0
0.007596783,39.48577355,5.111079041,209.4340177,106.8881748,383753.5607,0.01183982,30.68952449,74.72654046,1088,0.00025295,0,1,0.510941835,0.593673713,4,64.52895044,354.7796246,24046.71922,57.33293596,0.01549692,6.82463716,66.63659433,0
0.052412441,104.9745486,8.636256465,206.5352874,106.6094256,1008058.392,0.008532958,93.28909097,168.8599253,1100,0.000204884,0,1,0.532665458,0.595179513,4,66.66130094,355.7853206,23480.27499,55.36484461,0.015001207,6.724320264,64.50808818,0
0.008289467,35.00146458,4.814278356,198.6707708,105.8329807,354511.6262,0.01275336,26.74772479,66.21866641,1100,0.000245016,0,1,0.515217611,0.565976379,4,63.66519933,350.5781273,24363.20878,58.10916757,0.015707168,6.85834303,67.55405336,0
0.006976523,42.67615553,5.315160238,192.3819237,105.1896516,441985.6864,0.011467867,33.5026602,86.52658296,1100,0.00025481,0,1,0.520601277,0.568783916,4,63.71936672,356.8862355,24229.54316,57.91431003,0.015693816,6.851145495,67.48573634,0
0.007720595,35.43245166,4.850627144,192.0483844,105.1549468,354893.0961,0.01196303,27.44737594,67.69640504,1100,0.000248837,0,1,0.562414276,0.59687453,4,67.12628074,358.3264884,24555.6575,54.8208752,0.014897295,6.704109668,64.09198988,0
0.006256675,70.69094372,7.101969945,186.9423786,104.6160087,867830.6291,0.008605972,60.27279205,115.7214091,1100,0.000215413,0,1,0.58263376,0.602464232,4,68.50308301,359.9400815,22902.75556,53.56204166,0.014597883,6.644016651,62.79031226,0
0.048005777,94.0218467,8.180481733,188.5688811,104.7892671,907521.7345,0.008731472,82.70566877,153.1426986,1100,0.000207784,0,1,0.587511923,0.625294496,4,71.22098202,364.5192532,24145.66922,51.71304754,0.014040806,6.54478247,60.46038235,0
0.049071627,95.29366588,8.162115894,197.5169222,105.7164853,998346.088,0.008598324,83.90100188,153.4800721,1105,0.000197844,0,1,0.579326266,0.589800595,4,70.51695359,357.2246243,26022.1646,51.97659196,0.014180987,6.526375049,61.16913992,0
0.051786177,107.8708753,8.795570479,202.851078,106.2494421,1006151.345,0.008455923,96.00619557,162.355108,1093,0.000201611,0,1,0.592422757,0.572147261,4,70.33821595,355.1587552,22320.18148,52.66384245,0.014217023,6.590682089,61.1592441,0
0.040349053,107.5460728,8.807267056,214.0555099,107.3247075,1052439.788,0.008176973,95.16696779,160.4772483,1083,0.00020339,0,1,0.593673418,0.542976928,4,69.09284843,350.8188906,22631.0534,54.03387593,0.014473278,6.65841125,62.28121357,0
0.006226661,88.00702917,7.976621725,226.1595721,108.4248164,1090517.339,0.007861957,76.06214212,133.0843856,1083,0.000207387,0,1,0.578962589,0.515829785,4,66.79148977,284.8767843,20640.28134,57.00986332,0.014971967,6.841440541,64.26907634,0
0.007302967,38.00969574,5.057314767,226.14215,108.4232757,403908.2405,0.011564856,29.92934075,67.99152844,1083,0.000235547,0,1,0.596124336,0.53247206,4,67.5593409,336.1575222,18198.13409,56.88844566,0.014801802,6.887917503,63.39842805,0
0.007166431,35.79028027,4.900523747,220.293599,107.899224,380534.0475,0.011237408,28.43750182,66.52887197,1083,0.000240629,0,1,0.634100372,0.532144828,4,70.50909333,336.4390566,18959.00223,54.11919924,0.014182568,6.712811534,60.86166323,0
0.007434038,39.35212728,5.076331868,228.7570202,108.6532079,392081.4792,0.011801935,30.50341148,74.4212964,1100,0.000249775,0,1,0.601999026,0.518414841,4,67.83604319,342.5252349,19244.26854,56.68933813,0.014741426,6.859926319,63.23026993,0
0.006869509,42.90810022,5.346062427,227.4981727,108.5428441,425714.2898,0.011314976,33.65367818,74.50917419,1051,0.000241049,0,1,0.619590481,0.545419364,4,70.70532524,344.1845073,17315.78791,54.40591761,0.014143206,6.764676834,60.57625618,0
0.032631448,104.4730558,8.765901704,229.4913051,108.7173028,1178574.775,0.007989927,92.41353403,155.8789103,1088,0.000194719,0,1,0.641935906,0.55768018,4,71.89898031,1083.71333,17825.25199,53.65956661,0.013908403,6.732734895,59.66006372,0
0.007091684,47.87164005,5.576137989,224.2262537,108.2531121,362930.9905,0.011548818,36.89458559,83.3009322,1056,0.000275983,0,1,0.649422913,0.548386664,4,71.29247729,348.2133747,16692.22898,54.24743362,0.014026725,6.772496096,60.08955673,0
0.025147132,100.9384008,8.61897227,228.8720351,108.663261,1162691.981,0.007753604,89.460011,148.1923418,1085,0.000196847,0,1,0.634511585,0.538859442,4,70.4958166,346.8241761,17728.80033,54.73278635,0.014185239,6.785668548,60.80616142,0
0.051336994,122.7405751,9.47042539,231.240867,108.8691976,1141256.595,0.007949408,110.4405884,184.05228,1083,0.00020262,0,1,0.60568783,0.507136178,4,67.19738655,339.0451177,18874.1327,57.36427998,0.014881531,6.904518794,63.81325082,0
0.006789745,44.79360769,5.434806909,224.0782222,108.2399039,419807.699,0.011221541,35.29085105,92.75528032,1088,0.000271689,0,1,0.625943488,0.531419994,4,69.38355318,346.1170111,18865.03565,54.78788187,0.014412637,6.75798008,61.84120278,0
0.04234225,113.7277574,9.13789384,217.6451606,107.6573207,1119212.668,0.007738786,101.9743636,156.98075,1105,0.000194463,0,1,0.622915991,0.528850127,4,68.67039593,340.9666376,17386.16286,55.72220279,0.014562316,6.827523493,62.37522827,0
0.007352188,42.44576788,5.23659134,221.7660539,108.0324603,351250.1684,0.011679414,32.92610631,80.61431161,1100,0.00027539,0,1,0.592723027,0.535404333,4,67.56513088,345.3185228,18323.22458,56.46728375,0.014800534,6.85785794,63.43669908,0
0.007489453,38.95208128,4.997204633,222.4745071,108.0962504,352015.4953,0.011483464,30.11357532,74.42298875,1097,0.000263304,0,1,0.593770864,0.541760842,4,68.41809928,353.8739718,20414.74098,55.47501358,0.014616016,6.785153928,62.76425578,0
0.007055139,42.64647569,5.302134519,227.7704344,108.5667651,365670.7167,0.011448505,33.36839119,76.34996136,1068,0.000263071,0,1,0.557269064,0.513694797,4,64.35059305,342.4572537,19460.60601,59.66153607,0.015539872,7.004304372,66.62908143,0
0.007396184,40.59019008,5.18404572,219.7665827,107.8513199,340121.3648,0.011693153,31.66408523,73.70572933,1085,0.000267272,0,1,0.567029342,0.523042379,4,65.00258737,348.1008563,18994.78487,58.81237176,0.015384003,6.959208692,65.95363651,0
0.007388601,45.13385193,5.420241174,230.2808998,108.7859973,335617.0174,0.011886443,34.8686091,83.34335181,1083,0.000286851,0,1,0.547818399,0.532761965,4,64.6066132,352.2614463,19857.14628,59.50401724,0.015478292,6.990391882,66.42629345,0
0.007307201,45.1338854,5.448974496,228.4611879,108.6273268,349705.8401,0.011885908,34.85395675,78.67834218,1083,0.000272493,0,1,0.513058831,0.536840976,4,62.53701086,349.7785744,20296.39841,62.01057931,0.015990531,7.126742934,68.57015194,0
0.007697039,46.39833095,5.509646564,221.7296748,108.0291792,366051.2575,0.01222403,34.97259296,76.0635557,1100,0.000259925,0,1,0.538871578,0.539487152,4,63.82862567,341.0683441,18848.77285,60.69536169,0.015666952,7.074710149,67.08730388,0
0.014141289,96.96321968,8.434867178,222.6034257,108.1078366,1042871.872,0.008107511,84.54342478,143.9199429,1092,0.000213452,0,1,0.516354064,0.549732231,4,63.32117491,341.0716296,19545.90503,60.9864504,0.015792505,7.081935077,67.65611948,0
0.00784974,52.62665626,5.796223104,224.187293,108.2496366,331756.0394,0.012617343,39.16722556,94.17244535,1097,0.000304411,0,1,0.516443915,0.552377264,4,62.97205619,341.9082551,19302.23107,61.19409027,0.01588006,7.092233187,68.00305872,0
0.007524499,55.92441412,5.987669382,214.7754671,107.3918629,347027.2451,0.012248417,42.19189797,100.7640178,1097,0.000309839,0,1,0.526581135,0.581521828,4,64.80284218,348.2090244,19664.09145,59.30112647,0.015431422,6.998772291,66.13269343,0
0.049217193,122.4674839,9.503682591,221.6627866,108.023145,1071154.377,0.008339082,109.8964901,177.9453594,1088,0.000206938,0,1,0.532298616,0.574231118,4,64.68641895,343.5522081,19439.73656,59.40480252,0.015459196,7.004777479,66.23552327,0
0.007650866,55.42438346,5.954192823,222.5136511,108.0997691,345758.8936,0.012562156,41.34353106,95.8676788,1088,0.000301473,0,1,0.518530968,0.583679708,4,64.72436533,346.0851698,19517.64177,59.31229431,0.015450132,7.000436726,66.1741349,0
0.007791325,50.48956506,5.707627732,223.3355413,108.1735062,355278.7412,0.012574786,37.5854103,86.07445131,1093,0.000280498,0,1,0.536182533,0.561533694,4,64.47989239,342.3287466,18358.21181,59.49275199,0.015508711,7.013259422,66.37977922,0
0.008348062,48.74220859,5.589890053,214.2525672,107.3431108,332950.063,0.013470314,35.88912418,88.22250327,1100,0.000292063,0,1,0.568491851,0.541494958,4,65.10317731,340.2954061,17879.35969,58.87808384,0.015360233,6.984062267,65.72961389,0
0.00632281,63.78626172,6.514622723,219.2972252,107.80856,415606.2011,0.011579604,49.5440309,125.0444641,1068,0.000318776,0,1,0.600104668,0.548389906,4,67.68290531,343.7095648,18154.4385,56.2278492,0.014774779,6.839341262,63.28011181,0
0.007766098,50.19803099,5.717558388,226.1265703,108.4218978,338911.4998,0.012862936,37.72664872,87.62008579,1068,0.000290637,0,1,0.624549126,0.549784922,4,68.99675779,341.3948342,17973.0877,55.2956574,0.014493435,6.792494589,62.07897038,0
0.008005287,48.50478027,5.580523128,228.3738301,108.6196778,343899.1611,0.012684608,36.13775722,86.34752726,1097,0.000285465,0,1,0.600082525,0.547376554,4,67.67479933,346.7833405,18580.49699,55.95774328,0.014776549,6.807812157,63.33367197,0
